adm1,sum_pop,mean_pop,min_pop,max_pop,sum_2012,sum_2013,sum_2014,sum_2015,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,perc_2012,perc_2013,perc_2014,perc_2015,perc_2016,perc_2017,perc_2018,perc_2019,perc_2020
AGO.1,221736.4,60.4,58.3,104.6,83430.5,86324.1,84009.4,81024.6,81371.4,81445.0,75325.6,82987.3,78179.1,0.3763,0.3893,0.3789,0.3654,0.367,0.3673,0.3397,0.3743,0.3526
AGO.10,1369738.9,153.9,107.6,248.3,313563.8,333663.1,310056.6,309218.2,309935.2,305918.3,308175.6,324961.5,317833.6,0.2289,0.2436,0.2264,0.2257,0.2263,0.2233,0.225,0.2372,0.232
AGO.11,4062651.5,671.8,269.2,1066.0,2276748.3,2277921.2,2128871.6,2261277.4,2128383.4,2127825.4,2260981.0,1973080.4,2261402.6,0.5604,0.5607,0.524,0.5566,0.5239,0.5238,0.5565,0.4857,0.5566
AGO.12,439843.7,199.5,178.5,258.7,183628.1,186989.8,200506.3,190405.4,200914.5,201837.7,185519.2,187453.1,184001.2,0.4175,0.4251,0.4559,0.4329,0.4568,0.4589,0.4218,0.4262,0.4183
AGO.13,279742.4,66.4,66.4,78.3,165966.9,169472.7,152015.8,146104.0,148087.8,147402.8,142839.6,159071.2,146634.2,0.5933,0.6058,0.5434,0.5223,0.5294,0.5269,0.5106,0.5686,0.5242
AGO.14,523841.4,232.7,177.4,265.2,217377.2,215711.3,198306.8,179869.0,181775.9,191796.8,178901.1,177890.5,184590.7,0.415,0.4118,0.3786,0.3434,0.347,0.3661,0.3415,0.3396,0.3524
AGO.15,432060.0,124.7,116.7,138.1,137065.4,149850.5,160526.8,146402.5,157620.3,158228.7,142733.7,151424.6,141175.1,0.3172,0.3468,0.3715,0.3388,0.3648,0.3662,0.3304,0.3505,0.3267
AGO.16,275293.3,196.3,173.9,213.3,110183.3,114304.3,118450.2,95679.4,117351.0,120490.1,98448.5,109613.4,99779.9,0.4002,0.4152,0.4303,0.3476,0.4263,0.4377,0.3576,0.3982,0.3624
AGO.17,713014.1,249.5,222.2,278.2,212833.6,220463.9,204474.8,207702.2,193489.6,196514.7,202193.1,188114.7,209015.6,0.2985,0.3092,0.2868,0.2913,0.2714,0.2756,0.2836,0.2638,0.2931
AGO.18,322876.0,88.1,79.7,88.1,187743.9,189121.9,178631.9,166093.0,168229.9,169255.1,156775.5,170107.1,169257.0,0.5815,0.5857,0.5533,0.5144,0.521,0.5242,0.4856,0.5268,0.5242
AGO.2,1111910.5,109.7,77.6,183.4,375394.7,372811.0,360912.3,328934.0,345702.9,350783.3,315027.7,342072.7,328498.1,0.3376,0.3353,0.3246,0.2958,0.3109,0.3155,0.2833,0.3076,0.2954
AGO.3,707265.0,99.6,77.2,121.4,152210.9,157634.8,150972.1,139466.4,133485.4,142211.4,141180.7,161840.8,156439.0,0.2152,0.2229,0.2135,0.1972,0.1887,0.2011,0.1996,0.2288,0.2212
AGO.4,413310.2,40.9,38.1,43.7,281695.6,286429.7,270687.8,272380.4,263118.6,261057.4,265409.5,268441.1,266512.0,0.6816,0.693,0.6549,0.659,0.6366,0.6316,0.6422,0.6495,0.6448
AGO.5,267603.6,164.8,159.8,170.4,83892.7,89066.7,70702.7,80267.6,74232.6,75023.3,85676.9,96465.4,87805.7,0.3135,0.3328,0.2642,0.2999,0.2774,0.2804,0.3202,0.3605,0.3281
